Causa CIE-10,Defunciones 2013 ,Porcentaje 2013,Tasa 2013,Defunciones 2014,Porcentaje 2014,Tasa 2014,Defunciones 2015,Porcentaje 2015,Tasa 2015,Causa CIE-10,Porcentaje 2016,Tasa 2016,Defunciones 2017,Porcentaje 2017,Tasa 2017,Causa CIE-10,Defunciones 2018,Porcentaje 2018,Tasa 2018,Causa CIE-10,Defunciones 2019,Porcentaje 2019,Tasa 2019,Defunciones 2020,Porcentaje 2020,Tasa 2020,Defunciones 2021,Porcentaje2021,Tasa 2021,Causa CIE-10,Defunciones 2022,Porcentaje 2022,Tasa 2022,Defunciones 2023,Porcentaje 2023,Tasa 2023
Septicemia,30,1.1,5.7,11,0.4,2.1,21,0.6,3.2,Septicemia,30,1,4.6,20,0.7,3.1,36,0.9,5.6,"Bronquitis  crónica, enfisema y asma",45,1.4,6.9,75,1.3,8.8,40,1,4.2,"Bronquitis  crónica, enfisema y asma",47,1.1,4.9,50,1.3,4.6
Desnutrición y otras deficiencias  nutricionales,21,0.8,4,29,1.1,5.5,39,1.2,6,Desnutrición y otras deficiencias  nutricionales,39,1.3,6,27,0.9,4.2,42,1.1,6.5,Septicemia,34,1,5.2,48,0.9,5.6,45,1.2,4.8,Septicemia,39,0.9,4.1,21,0.6,1.9
Enfermedades infecciosas  intestinales,21,0.8,4,12,0.5,2.3,28,0.8,4.3,Enfermedades infecciosas  intestinales,18,0.6,2.8,20,0.7,3.1,19,0.5,2.9,Desnutrición y otras deficiencias  nutricionales,26,0.8,4,23,0.4,2.7,31,0.8,3.3,Desnutrición y otras deficiencias  nutricionales,21,0.5,2.2,21,0.6,1.9
Ulceras gástrica y duodenal,17,0.6,3.2,20,0.8,3.8,28,0.8,4.3,Ulceras gástrica y duodenal,27,0.9,4.2,17,0.6,2.6,24,0.6,3.7,Enfermedades infecciosas  intestinales,18,0.5,2.8,18,0.3,2.1,7,0.2,0.7,Enfermedades infecciosas  intestinales,7,0.2,0.7,9,0.2,0.8
Anemias,16,0.6,3,16,0.6,3,33,1,5.1,Anemias,43,1.4,6.6,55,1.8,8.5,100,2.5,15.4,Ulceras gástrica y duodenal,16,0.5,2.5,27,0.5,3.2,32,0.8,3.4,Ulceras gástrica y duodenal,23,0.5,2.4,19,0.5,1.7
Íleo paralítico y obstrucción  intestinal sin hernia,15,0.5,2.9,14,0.5,2.7,17,0.5,2.6,Íleo paralítico y obstrucción  intestinal sin hernia,13,0.4,2,20,0.7,3.1,18,0.5,2.8,Anemias,70,2.1,10.8,20,0.4,2.3,24,0.6,2.5,Anemias,20,0.5,2.1,19,0.5,1.7
Enfermedad  de Alzheimer,15,0.5,2.9,26,1,5,27,0.8,4.2,Enfermedad  de Alzheimer,21,0.7,3.2,20,0.7,3.1,35,0.9,5.4,Íleo paralítico y obstrucción  intestinal sin hernia,30,0.9,4.6,13,0.2,1.5,24,0.6,2.5,Íleo paralítico y obstrucción  intestinal sin hernia,19,0.4,2,21,0.6,1.9
Hiperplasia  de la próstata,12,0.4,2.3,0,0,0,3,0.1,0.5,Hiperplasia  de la próstata,4,0.1,0.6,5,0.2,0.8,5,0.1,0.8,Enfermedad  de Alzheimer,21,0.6,3.2,29,0.5,3.4,25,0.6,2.6,Enfermedad  de Alzheimer,28,0.7,2.9,20,0.5,1.8
Colelitiasis  y colecistitis,11,0.4,2.1,9,0.3,1.7,10,0.3,1.5,Colelitiasis  y colecistitis,12,0.4,1.9,9,0.3,1.4,9,0.2,1.4,Hiperplasia  de la próstata,7,0.2,1.1,14,0.3,1.6,3,0.1,0.3,Hiperplasia  de la próstata,6,0.1,0.6,6,0.2,0.6
Agresiones  (homicidios),9,0.3,1.7,7,0.3,1.3,6,0.2,0.9,Agresiones  (homicidios),6,0.2,0.9,14,0.5,2.2,12,0.3,1.9,Colelitiasis  y colecistitis,11,0.3,1.7,10,0.2,1.2,20,0.5,2.1,Colelitiasis  y colecistitis,24,0.6,2.5,14,0.4,1.3
"Síntomas signos y hallazgos anormales clínicos y de laboratorio no
clasificados en otra parte",0,0,0,12,0.5,2.3,26,0.8,4,"Síntomas signos y hallazgos anormales clínicos y de laboratorio no
clasificados en otra parte",14,0.5,2.2,6,0.2,0.9,43,1.1,6.6,Agresiones  (homicidios),7,0.2,1.1,12,0.2,1.4,13,0.3,1.4,Agresiones  (homicidios),13,0.3,1.4,12,0.3,1.1
Resto,401,14.4,76.4,350,13.5,66.7,518,15.3,79.9,Resto,474,15.5,73.1,408,13.5,62.9,589,14.8,90.8,"Síntomas signos y hallazgos anormales clínicos y de laboratorio no
clasificados en otra parte",40,1.2,6.2,27,0.5,3.2,17,0.4,1.8,"Síntomas signos y hallazgos anormales clínicos y de laboratorio no
clasificados en otra parte",28,0.7,2.9,-,-,-
Total,2789,100,531.5,2590,100,493.5,3381,100,521.4,Total,3051,100,470.5,3014,100,464.8,3968,100,612,Resto,491,14.8,75.7,647,11.6,75.7,565,14.6,59.9,Resto,656,15.2,68.3,640,17.2,58.8
,,,,,,,,,,,,,,,,,,,,Total,3311,100,510.6,5562,100,651,3874,100,410.4,Total,4305,100,448.1,3728,100,342.6
