Periodo,Índice al por mayor,Índice al por menor,Variación anual al por mayor,Variación anual al por menor
2016/07,100.9,95.9,1.7,13.8
2016/08,100.3,95.1,6.6,14.6
2016/09,101.6,96.3,13.3,15.5
2016/10,105.3,104.5,10.8,15.7
2016/11,108.2,107.9,12.2,18
2016/12,115.6,117.2,6.2,20.8
2017/01,99.8,87.2,7,6.6
2017/02,96.6,87,1.4,10
2017/03,104.4,98,4.4,9.6
2017/04,94.1,90.5,-3.5,1.7
2017/05,100.7,99.6,-0.9,9.9
2017/06,104,97.8,-9.5,2.5
2017/07,96.1,94.4,-4.8,-1.6
2017/08,100,98.1,-0.3,3.2
2017/09,96.4,95.8,-5.1,-0.5
2017/10,100.6,104.6,-4.5,0.1
2017/11,101.7,107.4,-6,-0.4
2017/12,107,114.9,-7.4,-1.9
2018/01,96,95.8,-3.8,9.9
2018/02,90.2,89.3,-6.7,2.6
2018/03,96.3,98,-7.7,0.1
2018/04,98.7,94.5,4.9,4.3
2018/05,107,99.6,6.2,0
2018/06,106.9,99.7,2.8,1.9
2018/07,101,97.6,5.1,3.4
2018/08,101.8,99.9,1.8,1.9
2018/09,96.7,97.2,0.2,1.4
2018/10,105.9,110.2,5.3,5.4
2018/11,102,110,0.3,2.4
2018/12,97.5,108.2,-8.9,-5.9
2019/01,92.6,96.5,-3.5,0.7
2019/02,86.3,92.2,-4.3,3.2
2019/03,95.3,99.6,-1.1,1.6
2019/04,92.6,97.2,-6.2,2.9
2019/05,102,102.7,-4.6,3.1
2019/06,98.3,99.9,-8,0.2
2019/07,97.6,101.8,-3.3,4.3
2019/08,94.9,100.5,-6.8,0.6
2019/09,87.8,98.6,-9.1,1.4
2019/10,93.6,107.9,-11.6,-2.1
2019/11,89.1,107.1,-12.7,-2.6
2019/12,93.6,108.5,-4,0.3
2020/01,88.3,95.8,-4.7,-0.8
2020/02,82.4,92.6,-4.5,0.4
2020/03,83.6,96.1,-12.3,-3.5
2020/04,64.2,74.5,-30.7,-23.4
2020/05,70.1,76,-31.3,-26
2020/06,73.7,85.6,-25,-14.3
2020/07,80.5,90.3,-17.5,-11.3
2020/08,75.5,90.1,-20.4,-10.3
2020/09,77.3,92.3,-12.1,-6.4
2020/10,82.9,101.6,-11.5,-5.9
2020/11,81.3,101.9,-8.7,-4.9
2020/12,88,107.4,-5.9,-1
2021/01,84.3,95.5,-4.5,-0.3
2021/02,85.3,92.2,3.5,-0.4
2021/03,94.3,105.7,12.9,10.1
2021/04,89.5,100.6,39.3,35.1
2021/05,97.2,104.9,38.8,38
2021/06,103.1,106.4,39.8,24.4
2021/07,100.7,106.5,25,18
2021/08,95.1,105.2,25.9,16.8
2021/09,94.6,105.7,22.4,14.6
2021/10,97.4,113.7,17.5,11.9
2021/11,99.7,115.1,22.6,13
2021/12,103.2,119.2,17.3,11
2022/01,92.6,100.1,9.8,4.9
2022/02,95.1,98.5,11.5,6.8
2022/03,114.4,114,21.3,7.9
2022/04,102.9,108.1,15,7.4
2022/05,110.6,112.5,13.8,7.2
2022/06,117.3,112,13.8,5.2
2022/07,108.5,110.7,7.8,3.9
2022/08,106.9,113.2,12.5,7.5
2022/09,104.1,110.4,10.1,4.4
2022/10,104.8,118.4,7.5,4.2
2022/11,106,119.3,6.3,3.6
2022/12,111.4,124.4,7.9,4.4
2023/01,100.1,111,8.1,10.8
2023/02,95.5,106.1,0.3,7.8
2023/03,106.3,117,-7,2.6
2023/04,95,111.4,-7.7,3.1
2023/05,104.8,116.2,-5.3,3.3
2023/06,103.8,117.8,-11.5,5.2
2023/07,103,116.1,-5.1,4.9
2023/08,109.7,119.3,2.6,5.4
2023/09,105.6,116.5,1.5,5.5
2023/10,107.1,124.2,2.2,4.9
2023/11,105.4,124.5,-0.6,4.4
2023/12,104.8,126,-5.9,1.3
2024/01,94.3,108.9,-5.8,-1.9
2024/02,90.4,106.6,-5.3,0.5
2024/03,93.2,110.6,-12.3,-5.5
2024/04,95.9,113.5,1,1.9
2024/05,98.4,114.1,-6.1,-1.8
2024/06,97.7,109,-5.9,-7.5
2024/07,101.1,113.9,-1.8,-1.9
2024/08,100.8,110,-8.1,-7.8
2024/09,94.8,107.1,-10.2,-8.1
