Periodo,Índice al por mayor,Índice al por menor,Variación anual al por mayor,Variación anual al por menor
2016/10,101.8,104.9,7.3,17.3
2016/11,106.2,109.9,12,15.5
2016/12,109.9,128.6,6.1,16.1
2017/01,95,96.2,1.2,6.9
2017/02,92,86.9,-3.1,4
2017/03,103.1,98,4.2,3.8
2017/04,93.4,95,-3,1.1
2017/05,102.2,101.8,0,4.4
2017/06,102.7,99.6,2.3,0.3
2017/07,96.7,99.6,-1.5,-2.5
2017/08,101,100.3,-1.6,0.4
2017/09,95.4,96.4,-1.6,-3.9
2017/10,102,99.3,0.2,-5.3
2017/11,100.4,107.5,-5.5,-2.2
2017/12,102.3,125.5,-6.9,-2.4
2018/01,95,98.4,-0.1,2.2
2018/02,90.3,89.6,-1.8,3.1
2018/03,95.8,97.1,-7.1,-0.9
2018/04,97.8,94.4,4.7,-0.6
2018/05,107,99.7,4.7,-2
2018/06,104.3,98.8,1.6,-0.8
2018/07,101.2,99.7,4.6,0
2018/08,102.5,99.6,1.5,-0.7
2018/09,98.4,95.3,3.2,-1.1
2018/10,107.1,101.7,5,2.4
2018/11,103.4,108.4,3,0.9
2018/12,97.3,117.4,-4.9,-6.5
2019/01,91.8,100.5,-3.4,2.1
2019/02,87.9,92.1,-2.7,2.8
2019/03,96.3,99.8,0.5,2.8
2019/04,93.9,96.8,-4,2.5
2019/05,101.6,102.9,-5,3.2
2019/06,98.3,100.6,-5.7,1.8
2019/07,98.5,102.5,-2.6,2.8
2019/08,95.6,102.4,-6.8,2.8
2019/09,91.4,97.4,-7.1,2.3
2019/10,97.4,101.2,-9.1,-0.5
2019/11,93.5,109.7,-9.5,1.2
2019/12,95.6,120.5,-1.7,2.6
2020/01,91.1,100.6,-0.8,0.1
2020/02,85.4,93.5,-2.8,1.6
2020/03,88.3,98.7,-8.3,-1.1
2020/04,65.1,77.7,-30.7,-19.8
2020/05,70.5,82,-30.6,-20.4
2020/06,76.8,87.4,-21.8,-13.1
2020/07,84.2,92.6,-14.5,-9.6
2020/08,80.1,94.4,-16.2,-7.9
2020/09,82.5,93,-9.7,-4.6
2020/10,87.1,96.2,-10.5,-4.9
2020/11,86.2,105.8,-7.8,-3.5
2020/12,92.3,116.8,-3.5,-3
2021/01,86.5,99,-5.1,-1.6
2021/02,87.3,93.2,2.2,-0.3
2021/03,99.6,106.2,12.8,7.6
2021/04,92.5,101.9,42.2,31.3
2021/05,99.4,108.3,41,32.1
2021/06,105.4,106.1,37.2,21.4
2021/07,103.2,107.5,22.5,16
2021/08,98.8,106.8,23.4,13.2
2021/09,97.5,103.6,18.2,11.4
2021/10,102.4,106.9,17.5,11.1
2021/11,105.5,117.9,22.4,11.4
2021/12,104.2,128.9,12.9,10.3
2022/01,94.6,105,9.4,6
2022/02,95.9,99.5,9.9,6.8
2022/03,112.3,113,12.7,6.4
2022/04,104.9,108.4,13.4,6.4
2022/05,110.8,116.6,11.4,7.7
2022/06,116.7,113.1,10.7,6.5
2022/07,110.3,113.8,6.9,5.9
2022/08,109.3,114.8,10.6,7.4
2022/09,104.4,110.2,7,6.4
2022/10,107.4,114,4.9,6.6
2022/11,107.6,123.9,2,5
2022/12,111.4,136.7,7,6.1
2023/01,103.2,113.8,9.1,8.4
2023/02,98.7,104.5,2.8,5
2023/03,108.9,114.5,-3,1.3
2023/04,100.3,111.2,-4.4,2.5
2023/05,109.2,118,-1.4,1.2
2023/06,109.8,117,-5.9,3.5
2023/07,106.7,117.1,-3.3,2.9
2023/08,111.6,116.2,2.1,1.3
2023/09,109.4,112.5,4.8,2.1
2023/10,110.2,116.9,2.7,2.5
2023/11,109.4,128.1,1.7,3.4
2023/12,107.8,136.9,-3.3,0.1
2024/01,98.7,110.9,-4.4,-2.5
2024/02,97.9,106.4,-0.8,1.8
2024/03,98.8,110,-9.3,-3.9
2024/04,100.1,112.7,-0.2,1.4
2024/05,103.1,116.8,-5.5,-1
2024/06,101.5,111.7,-7.5,-4.5
2024/07,104.6,114.9,-1.9,-1.9
2024/08,105.3,113,-5.6,-2.7
2024/09,99.1,108.5,-9.4,-3.6
