Periodo,Índice al por mayor,Índice al por menor,Variación anual al por mayor,Variación anual al por menor
2016/10,101.5,98.7,3.1,-0.8
2016/11,100.2,98.3,2.2,1.7
2016/12,134.2,127.6,11.6,5.1
2017/01,98.9,97.8,4.3,-0.9
2017/02,97.3,94.3,6.5,-2.6
2017/03,104,99.5,4.8,-4.2
2017/04,109.4,98.7,7.2,-4.3
2017/05,131.5,109.6,5.2,-5.3
2017/06,104.1,101,-0.7,-1.1
2017/07,96.1,98.6,-9,-3.4
2017/08,99.9,95.3,-6.4,-2.2
2017/09,101.9,97,-4.1,-2
2017/10,98.4,98,-3.1,-0.7
2017/11,102.7,96.5,2.5,-1.9
2017/12,135.1,123.1,0.7,-3.5
2018/01,91.8,93,-7.2,-4.8
2018/02,91,93.2,-6.5,-1.3
2018/03,97.9,103.8,-5.9,4.3
2018/04,98.9,97.2,-9.6,-1.5
2018/05,112.7,105.9,-14.3,-3.4
2018/06,102.4,96.9,-1.7,-4
2018/07,96.6,97.5,0.6,-1.1
2018/08,100.3,97.7,0.4,2.6
2018/09,93.8,95.7,-8,-1.4
2018/10,95.1,96,-3.3,-2
2018/11,98.5,99.5,-4.2,3.2
2018/12,120.7,123.2,-10.6,0.1
2019/01,96,96.4,4.6,3.6
2019/02,94.1,98.4,3.5,5.7
2019/03,98.2,106.1,0.3,2.3
2019/04,99.9,99.2,1,2.1
2019/05,113.7,109,0.9,3
2019/06,101.5,99.4,-0.9,2.5
2019/07,96.1,99.9,-0.5,2.4
2019/08,100.5,100.8,0.2,3.2
2019/09,92.6,99.8,-1.3,4.3
2019/10,97.4,100,2.3,4.1
2019/11,95.9,103.1,-2.6,3.6
2019/12,120.7,124.8,0,1.4
2020/01,94.8,99.3,-1.2,3
2020/02,92.5,98,-1.8,-0.4
2020/03,96.6,106.3,-1.6,0.2
2020/04,100.8,102.9,0.9,3.7
2020/05,108,109.6,-5.1,0.6
2020/06,97.5,99.1,-3.9,-0.3
2020/07,95,101,-1.2,1.1
2020/08,95.5,100,-4.9,-0.9
2020/09,92.7,97.4,0.1,-2.4
2020/10,95.3,101.8,-2.1,1.8
2020/11,96.4,105.1,0.5,2
2020/12,123.2,127.9,2.1,2.5
2021/01,95.3,100.6,0.5,1.3
2021/02,93.3,98.9,0.9,0.9
2021/03,98.4,103.8,1.8,-2.3
2021/04,102.7,100.8,1.9,-2
2021/05,112.7,115.2,4.3,5.1
2021/06,102.3,101.3,4.9,2.3
2021/07,100.5,112.1,5.8,11
2021/08,100.6,102.7,5.3,2.8
2021/09,96.2,104.9,3.8,7.7
2021/10,96.9,107.5,1.7,5.6
2021/11,95.4,112.5,-1,7
2021/12,129.9,130.1,5.5,1.7
2022/01,102.3,108.5,7.4,7.9
2022/02,104.1,106.8,11.6,8.1
2022/03,105.9,110.5,7.7,6.4
2022/04,108.9,113.9,6,12.9
2022/05,124.8,129.3,10.7,12.3
2022/06,108,114.5,5.6,13
2022/07,109.2,115.7,8.6,3.2
2022/08,107.8,112.5,7.2,9.5
2022/09,105.8,112.3,10,7.1
2022/10,105.3,113.9,8.6,6
2022/11,106.4,115.1,11.5,2.3
2022/12,135.5,139.1,4.3,6.9
2023/01,109.2,118.5,6.7,9.2
2023/02,111.9,116.8,7.5,9.3
2023/03,116.5,121.1,9.9,9.6
2023/04,114.6,122.7,5.2,7.8
2023/05,138.8,141.8,11.2,9.7
2023/06,118.3,124.2,9.6,8.5
2023/07,113.6,125,4,8
2023/08,115.6,125.7,7.2,11.8
2023/09,114.3,125.7,8,11.9
2023/10,114.7,125.1,9,9.8
2023/11,114.4,127.1,7.6,10.5
2023/12,143.7,148.8,6,7
2024/01,114.6,127,5,7.2
2024/02,119.5,127,6.8,8.8
2024/03,122.5,129.7,5.2,7.2
2024/04,121.3,125.9,5.9,2.6
2024/05,151,147.8,8.8,4.3
2024/06,122.7,127.3,3.7,2.5
2024/07,120.8,129.5,6.4,3.6
2024/08,125.4,134.4,8.5,7
2024/09,120.3,131.3,5.2,4.5
