Periodo,Índice al por mayor,Índice al por menor,Variación anual al por mayor,Variación anual al por menor
2013/03,89.1,79.9,4.7,7.8
2013/04,89.2,80.3,4.8,8.6
2013/05,89.2,80.4,4,8.9
2013/06,89.4,80.7,3.6,10.3
2013/07,89.2,80.8,3.8,8.4
2013/08,89.3,80.9,3.4,8.1
2013/09,89.4,80.7,3.1,8
2013/10,88.9,81.5,2.8,7.4
2013/11,89.5,82.5,3.6,8.2
2013/12,89.6,80.7,3.8,4.8
2014/01,90.1,79.5,2.7,0.3
2014/02,90.1,79.9,2.2,0.7
2014/03,90.5,80.4,1.5,0.6
2014/04,90.9,80.2,1.9,-0.2
2014/05,91.8,79.9,2.9,-0.6
2014/06,92.5,80.2,3.5,-0.7
2014/07,91.9,80.5,3,-0.4
2014/08,91.7,80.7,2.7,-0.3
2014/09,92.1,82.2,3,2
2014/10,92.6,82.7,4.1,1.6
2014/11,92.5,83.9,3.3,1.7
2014/12,92.2,84.3,2.8,4.5
2015/01,92.6,83.2,2.8,4.8
2015/02,93.1,83.8,3.4,4.9
2015/03,93.5,84.5,3.3,5.2
2015/04,94,85,3.4,6
2015/05,93.1,85.4,1.4,6.8
2015/06,94.2,86.4,1.9,7.7
2015/07,94.1,86.5,2.5,7.4
2015/08,94.4,85.8,3,6.3
2015/09,94.8,85.9,2.9,4.5
2015/10,95.4,84.5,3.1,2.2
2015/11,95.3,85.3,3,1.7
2015/12,96.4,86.2,4.6,2.3
2016/01,96.8,84.3,4.5,1.2
2016/02,96.6,83.1,3.8,-0.8
2016/03,97.3,84.4,4.1,-0.2
2016/04,97.4,85.7,3.6,0.8
2016/05,97.9,86,5.2,0.7
2016/06,98,87.8,4,1.6
2016/07,99,90.9,5.2,5.2
2016/08,100.1,91.7,6,6.9
2016/09,100.2,92.3,5.7,7.4
2016/10,101,91.8,5.8,8.6
2016/11,100.4,92.5,5.4,8.4
2016/12,101.7,93.7,5.5,8.7
2017/01,101.4,92.6,4.7,10
2017/02,101.6,92.3,5.1,11.1
2017/03,100.6,92.3,3.3,9.5
2017/04,102.7,93.8,5.4,9.5
2017/05,102.4,92.5,4.6,7.6
2017/06,105,95.5,7.2,8.8
2017/07,100,95.8,1,5.3
2017/08,99.9,96.9,-0.2,5.7
2017/09,98.8,97.7,-1.4,5.9
2017/10,98.4,98.6,-2.5,7.4
2017/11,98.5,99.2,-1.9,7.3
2017/12,97.3,100.7,-4.3,7.4
2018/01,98.6,99.1,-2.7,7
2018/02,98.7,99,-2.8,7.3
2018/03,98.6,99.1,-2,7.3
2018/04,100.2,99.4,-2.4,5.9
2018/05,100.5,99.3,-1.9,7.3
2018/06,100.3,99.6,-4.5,4.3
2018/07,100.4,99.9,0.5,4.3
2018/08,100.7,100,0.9,3.2
2018/09,100.5,100.4,1.7,2.8
2018/10,100.6,101.2,2.2,2.6
2018/11,100.5,101.6,1.9,2.4
2018/12,100.3,101.5,3.1,0.8
2019/01,100.2,101.3,1.6,2.3
2019/02,100.3,101.5,1.6,2.5
2019/03,100.6,101.2,2,2.2
2019/04,101.1,101.4,0.9,2.1
2019/05,101.1,101.6,0.6,2.4
2019/06,101.3,101.7,1,2.1
2019/07,101.5,102,1.1,2.1
2019/08,101.8,101.9,1,1.9
2019/09,101.2,102,0.7,1.6
2019/10,101,102.1,0.4,1
2019/11,101.4,102.7,0.9,1.1
2019/12,100.9,102.9,0.6,1.4
2020/01,101,102.5,0.8,1.2
2020/02,100.8,102.5,0.5,0.9
2020/03,101.3,102.3,0.7,1.1
2020/04,100.6,97.2,-0.4,-4.2
2020/05,100,97.2,-1,-4.4
2020/06,100,97.8,-1.2,-3.9
2020/07,99.9,98.2,-1.6,-3.7
2020/08,100,98.2,-1.7,-3.7
2020/09,100.2,98.4,-1,-3.6
2020/10,99.8,98.8,-1.2,-3.3
2020/11,99.6,99.2,-1.8,-3.4
2020/12,99.6,99.1,-1.3,-3.7
2021/01,100.7,98.4,-0.3,-4
2021/02,100.9,99.1,0.1,-3.3
2021/03,101.8,99.4,0.5,-2.9
2021/04,102.2,99.4,1.6,2.3
2021/05,102.5,99.3,2.5,2.1
2021/06,103.1,99.7,3,2
2021/07,106.1,101.3,6.3,3.1
2021/08,108.7,102.7,8.6,4.6
2021/09,110,103,9.8,4.7
2021/10,110,103.6,10.2,4.8
2021/11,110.4,104.3,10.9,5.2
2021/12,110.4,104.9,10.9,5.8
2022/01,110.2,101.2,9.5,2.9
2022/02,111.5,101.3,10.4,2.3
2022/03,112.4,100.9,10.5,1.5
2022/04,112.9,100.6,10.5,1.2
2022/05,112.4,101.5,9.7,2.2
2022/06,113.2,101.6,9.8,1.9
2022/07,112.1,101.5,5.6,0.2
2022/08,112.6,101.4,3.6,-1.2
2022/09,113.1,102,2.8,-1
2022/10,113.4,102.3,3.1,-1.2
2022/11,112.9,102.7,2.3,-1.5
2022/12,112.6,102.3,2,-2.5
2023/01,112.1,101.2,1.7,-0.1
2023/02,113.3,101,1.7,-0.4
2023/03,112.3,101.3,-0.1,0.4
2023/04,112.5,101.5,-0.4,0.8
2023/05,112.4,101.7,-0.1,0.2
2023/06,114.4,102.3,1,0.8
2023/07,115,102.6,2.6,1.1
2023/08,116.2,102.7,3.2,1.2
2023/09,115.1,103.3,1.8,1.4
2023/10,115.5,103.9,1.9,1.5
2023/11,115.7,104.9,2.4,2.1
2023/12,114.8,104.7,2,2.3
2024/01,110.8,101.5,-1.2,0.4
2024/02,110.7,101.9,-2.3,0.9
2024/03,111.7,101.9,-0.5,0.6
2024/04,112.8,103,0.3,1.5
2024/05,112.6,103,0.2,1.2
2024/06,114.2,103.4,-0.2,1
2024/07,113.6,103.4,-1.3,0.8
2024/08,114.6,102.4,-1.4,-0.3
2024/09,113.5,102.1,-1.4,-1.3
