Año/Mes,Total nacional,Estado Chihuahua,Juárez,Otros municipios,Extra
2015/02,"23,050,699","3,131,368","649,065","2,280,043","202,260"
2015/03,"24,473,873","3,349,386","709,032","2,428,667","211,687"
2015/04,"24,876,480","3,406,695","715,215","2,481,291","210,189"
2015/05,"24,241,676","3,309,830","679,982","2,417,335","212,513"
2015/06,"24,579,374","3,448,930","695,115","2,542,173","211,642"
2015/07,"25,452,507","3,579,335","696,087","2,673,032","210,216"
2015/08,"24,498,124","3,404,556","691,823","2,509,109","203,624"
2015/09,"24,765,686","3,536,722","706,524","2,622,411","207,787"
2015/10,"26,292,304","3,795,659","766,906","2,814,830","213,923"
2015/11,"25,087,668","3,562,507","708,866","2,651,130","202,511"
2015/12,"29,839,630","3,971,522","890,038","2,846,710","234,774"
ACUMULADO 2015,"303,115,921","41,886,562","8,454,599","30,848,617","2,583,346"
2016/01p/,"25,616,669","3,629,175","740,698","2,678,379","210,098"
2016/02,"25,754,962","3,650,034","754,388","2,679,790","215,856"
2016/03,"27,994,149","4,069,057","859,829","2,973,538","235,690"
2016/04,"27,254,591","3,805,676","773,970","2,805,544","226,162"
2016/05,"27,483,131","3,918,173","800,581","2,873,174","244,418"
2016/06,"28,542,796","4,055,815","833,974","2,979,695","242,146"
2016/07,"27,859,264","3,895,977","805,037","2,868,886","222,054"
2016/08,"28,278,323","4,013,157","799,104","2,973,042","241,011"
2016/09,"29,491,307","4,385,734","850,898","3,279,606","255,230"
2016/10,"29,171,771","4,276,745","819,489","3,206,994","250,262"
2016/11,"29,089,761","4,246,138","809,396","3,188,283","248,459"
2016/12,"33,129,807","4,554,650","952,153","3,341,210","261,287"
ACUMULADO 2016,"339,666,531","48,500,331","9,799,517","35,848,141","2,852,673"
2017/01,"29,214,322","4,339,623","834,504","3,246,426","258,693"
2017/02,"29,287,004","4,255,125","799,597","3,183,092","272,436"
2017/03,"32,506,796","4,879,723","943,021","3,627,164","309,538"
2017/04,"30,575,495","4,338,581","723,506","3,334,682","280,393"
2017/05,"31,804,734","4,704,336","761,300","3,600,100","342,936"
2017/06,"32,707,687","4,738,073","839,364","3,582,833","315,876"
2017/07,"31,142,977","4,462,735","826,366","3,349,287","287,082"
2017/08,"32,764,060","4,736,826","838,126","3,584,161","314,539"
2017/09,"32,222,804","4,755,056","877,383","3,523,762","353,911"
2017/10,"32,432,628","4,655,356","875,069","3,443,259","337,028"
2017/11,"33,064,115","4,722,459","873,984","3,496,078","352,397"
2017/12,"37,522,169","4,997,983","948,904","3,604,573","444,506"
ACUMULADO 2017,"385,244,791","55,585,876","10,141,124","41,575,417","3,869,335"
2018/01,"32,322,248","4,593,107","792,927","3,408,835","391,345"
2018/02,"32,607,709","4,499,869","760,729","3,350,737","388,403"
2018/03,"35,605,365","4,951,369","855,879","3,679,674","415,816"
2018/04,"34,344,247","4,705,578","815,897","3,494,027","395,654"
2018/05,"36,156,117","5,074,689","887,841","3,762,063","424,785"
2018/06,"35,516,876","4,974,320","854,717","3,695,886","423,717"
2018/07,"34,658,780","4,791,611","838,722","3,555,856","397,033"
2018/08,"36,809,077","5,025,940","885,241","3,722,097","418,602"
2018/09,"34,963,423","4,919,403","866,417","3,641,143","411,843"
2018/10,"36,273,519","5,100,406","889,984","3,804,681","405,741"
2018/11,"36,726,851","5,169,291","904,725","3,856,561","408,005"
2018/12,"42,633,851","5,702,647","1,025,781","4,228,274","448,592"
ACUMULADO 2018,"428,618,063","59,508,230","10,378,860","44,199,834","4,541,133"
2019/01,"36,983,560","5,394,114","921,027","4,048,015","425,072"
2019/02,"36,239,139","5,230,621","904,128","3,911,572","414,921"
2019/03,"38,473,778","5,622,555","1,039,560","4,129,321","453,674"
2019/04,"38,582,975","5,711,324","1,064,577","4,197,503","449,244"
2019/05,"40,448,048","5,786,872","1,131,621","4,195,280","459,971"
2019/06,"38,732,892","5,638,127","1,096,266","4,091,904","449,957"
2019/07,"38,775,922","5,640,116","1,033,893","4,154,261","451,962"
2019/08,"40,058,131","5,718,622","1,089,892","4,147,342","481,388"
2019/09,"38,484,301","5,574,149","1,071,820","4,048,398","453,931"
2019/10,"39,849,301","5,794,546","1,089,496","4,243,082","461,968"
2019/11,"38,565,269","5,602,320","1,085,677","4,055,867","460,776"
2019/12,"45,822,409","6,327,750","1,305,863","4,541,138","480,749"
ACUMULADO 2019,"471,015,725","68,041,116","12,833,820","49,763,683","5,443,613"
2020/01,"38,979,380","5,744,705","1,099,977","4,195,696","449,032"
2020/02,"38,433,683","5,587,588","1,085,468","4,062,765","439,355"
2020/03,"39,566,475","5,994,706","1,160,369","4,394,935","439,402"
2020/04,"37,513,031","5,592,085","996,738","4,176,299","419,048"
2020/05,"36,253,396","5,328,416","1,012,420","3,887,467","428,529"
2020/06,"37,397,941","5,595,201","1,041,370","4,085,388","468,443"
2020/07,"40,155,984","6,050,020","1,071,860","4,526,470","451,690"
2020/08,"39,462,096","6,007,892","1,077,525","4,457,881","472,486"
2020/09,"40,234,383","6,364,185","1,089,474","4,789,120","485,591"
2020/10,"42,338,698","6,514,646","1,140,075","4,916,928","457,643"
2020/11,"40,484,756","6,197,779","1,103,685","4,656,155","437,939"
2020/12,"51,325,928","7,709,240","1,437,808","5,749,499","521,933"
ACUMULADO 2020,"482,145,751","72,686,463","13,316,769","53,898,603","5,471,091"
2021/01,"41,090,541","6,631,142","1,144,383","5,004,545","482,214"
2021/02,"41,624,598","6,438,957","1,123,089","4,861,867","454,001"
2021/03,"45,509,459","7,246,734","1,271,584","5,461,142","514,008"
2021/04,"44,414,834","6,843,315","1,206,437","5,151,901","484,977"
2021/05,"43,354,773","6,633,671","1,181,809","4,959,230","492,632"
2021/06,"45,170,615","6,996,042","1,256,806","5,236,712","502,524"
2021/07,"52,375,414","7,375,622","1,389,859","5,470,637","515,126"
2021/08,"53,688,705","7,285,603","1,477,141","5,304,148","504,314"
2021/09,"56,723,966","7,853,737","1,501,584","5,815,176","536,977"
2021/10,"57,207,044","7,643,085","1,477,546","5,637,705","527,834"
2021/11,"56,651,891","7,533,119","1,504,936","5,492,126","536,057"
2021/12,"73,396,234","9,107,101","1,925,945","6,547,607","633,549"
ACUMULADO 2021,"611,208,074","87,588,128","16,461,119","64,942,796","6,184,213"
2022/01,"57,482,160","7,936,569","1,441,460","5,951,593","543,516"
2022/02,"59,558,540","8,137,922","1,502,551","6,076,833","558,538"
2022/03,"65,199,198","9,226,759","1,689,382","6,919,210","618,167"
2022/04,"64,502,900","8,759,215","1,598,114","6,572,018","589,083"
2022/05,"63,610,909","8,749,415","1,595,662","6,535,825","617,928"
2022/06,"67,236,501","9,484,538","1,734,079","7,113,941","636,518"
2022/07,"64,721,335","8,889,534","1,597,512","6,688,400","603,622"
2022/08,"65,849,889","8,995,262","1,650,725","6,714,612","629,925"
2022/09,"68,446,708","9,410,900","1,749,652","6,995,938","665,310"
2022/10,"66,582,623","9,174,620","1,698,790","6,833,557","642,273"
2022/11,"66,065,564","9,134,136","1,726,445","6,786,061","621,630"
2022/12,"65,061,261","10,888,019","2,385,141","7,808,042","694,836"
ACUMULADO 2022,"774,317,588","108,786,889","20,369,513","80,996,030","7,421,346"
2023/01,"67,794,469","9,535,180","1,747,040","7,098,333","689,807"
2023/02,"68,642,429","9,476,931","1,787,093","7,038,799","651,039"
2023/03,"76,304,688","10,653,286","1,978,802","7,932,629","741,855"
2023/04,"73,102,736","10,627,626","1,946,201","7,475,588","1,205,837"
2023/05,"74,512,306","10,490,116","1,879,486","7,388,956","1,221,674"
2023/06,"78,813,083","11,827,999","2,101,533","7,720,162","2,006,304"
2023/07,"73,935,493","10,756,120","1,927,978","7,140,119","1,688,023"
2023/08,"77,358,277","11,048,863","2,114,501","7,672,368","1,261,994"
2023/09,"75,524,145","10,508,626","2,019,704","7,188,825","1,300,097"
2023/10,"75,407,158","10,805,020","2,042,322","7,349,792","1,412,906"
2023/11,"76,305,309","10,615,914","2,028,394","7,337,472","1,250,048"
2023/12,"92,103,906","11,877,049","2,522,176","7,972,723","1,382,150"
ACUMULADO 2023,"909,803,999","128,222,730","24,095,230","89,315,766","14,811,734"
2024/01,"75,372,255","10,403,897","2,033,731","7,162,704","1,207,462"
2024/02,"77,820,448","10,830,730","2,117,439","7,553,326","1,159,965"
2024/03,"79,806,838","11,391,052","2,325,386","7,686,154","1,379,512"
2024/04,"79,197,551","10,832,159","2,159,697","7,381,495","1,290,967"
2024/05,"84,510,915","11,571,266","2,249,063","7,947,735","1,374,468"
2024/06,"80,356,327","11,127,300","2,150,623","7,528,508","1,448,169"
2024/07,"80,103,212","10,310,902","2,076,299","7,451,880","782,723"
2024/08,"83,942,303","10,913,631","2,227,625","7,866,004","820,002"
2024/09,"80,186,267","10,612,786","2,118,650","7,614,002","880,134"
2024/10,"85,758,989","11,496,231","2,295,111","8,345,851","855,269"
2024/11,"81,486,096","10,764,437","2,178,583","7,745,150","840,704"
2024/12,"101,515,800","12,530,011","2,504,106","8,969,801","1,056,104"
ACUMULADO 2024,"990,057,001","132,784,402","26,436,313","93,252,610","13,095,479"
2025/01,"84,329,747","11,039,086","2,192,420","7,881,572","965,094"
2025/02,"83,192,676","10,882,768","2,217,509","7,651,103","1,014,156"
2025/03,"85,974,363","11,269,325","2,266,021","7,936,588","1,066,716"
2025/04,"88,128,843","11,312,111","2,372,990","8,031,204","907,917"
ACUMULADO 2025,"341,625,629","44,503,290","9,048,940","31,500,467","3,953,883"
