Tipo de cruce/año,Paso del Norte,Stanton,Américas,Zaragoza,Zaragoza (Línea Express),Tornillo (Antigua instalación),Tornillo (Nueva instalación),Santa Teresa,Total
Autobuses 2015,"10,017",0,"9,722",0,0,0,,118,"19,857"
Vehículos de pasajeros 2015,"2,871,979","1,203,746","3,859,726","3,437,625","885,116","202,117",,"527,411","12,710,680"
Peatones 2015,"7,038,795",0,"939,519","1,115,425",0,"30,486",,"160,560","7,038,795"
Camiones de carga 2016,0,0,"296,992","468,941",0,171,,"114,298","880,402"
Autobuses 2016,"7,465",0,"7,585",0,0,0,,99,"15,149"
Vehículos de pasajeros 2016,"2,771,336","1,197,042","3,922,437","3,705,998","1,030,735","313,390",,"623,615","13,564,553"
Peatones 2016,"4,792,797",0,"1,019,901","1,220,017",0,"31,957",,"159,687","7,224,359"
Camiones de carga 2017,0,0,"269,885","509,307",0,106,,"114,921","894,219"
Autobuses 2017,"8,701",0,"7,197",0,0,0,,269,"16,167"
Vehículos de pasajeros 2017,"2,995,942","1,237,289","3,883,830","3,843,699","1,090,465","248,587",,"633,397","14,011,824"
Peatones 2017,"4,601,047",0,"1,030,474","1,295,982",0,"32,354",,"134,458","7,096,597"
Camiones de carga 2018,0,0,"270,843","540,025",0,0,0,"114,996","925,864"
Autobuses 2018,"8,738",0,"7,239",0,0,0,0,232,"16,209"
Vehículos de pasajeros 2018,"2,918,649","1,362,261","4,090,774","3,478,560","1,220,208","89,448","286,190","528,921","13,975,011"
Peatones 2018,"4,797,983",0,"1,275,643","1,415,345",0,"1,952","35,855","149,474","7,676,252"
Camiones de carga 2019,0,0,"212,186","579,966",0,0,0,"133,926","926,078"
Autobuses 2019,"10,121",0,"8,911",0,0,0,118,240,"19,390"
Vehículos de pasajeros 2019,"2,196,381","1,557,110","3,121,079","2,529,713","1,261,981","116,484","333,550","576,649","11,692,947"
Peatones 2019,"4,342,271",0,"1,671,345","1,842,299",0,"3,116","37,412","181,179","8,077,622"
Camiones de carga 2020,0,0,"170,784","587,388",0,0,0,"140,993","899,165"
Autobuses 2020,"4,753",0,"4,163",0,0,0,0,50,"8,966"
Vehículos de pasajeros 2020,"1,583,436","941,260","2,442,470","1,512,999","724,155","78,433","257,467","379,975","7,920,195"
Peatones 2020,"1,775,983",0,"675,057","838,954",0,"1,572","14,581","52,557","3,358,704"
Camiones de carga 2021,0,0,"183,073","664,100",0,0,0,"153,500","1,000,673"
Autobuses 2021,"4,345",0,"4,579",0,0,0,0,130,"9,054"
Vehículos de pasajeros 2021,"2,027,260","1,179,814","3,122,666","1,623,825","979,311","9,478","316,745","460,881","9,719,980"
Peatones 2021,"2,098,001",0,"639,547","1,045,050",0,"37,333","23,104","54,640","3,897,675"
Camiones de carga 2022,0,0,"161,405","649,561",0,0,0,"159,570","970,536"
Autobuses 2022,"4,462",0,"6,557",0,0,0,0,549,"11,568"
Vehículos de pasajeros 2022,"2,654,508","1,510,077","4,191,354","1,840,344","1,289,559","68,524","352,370","645,430","12,552,166"
Peatones 2022,"2,730,668",0,"912,603","1,383,794",0,"8,871","28,385","118,946","5,183,267"
Camiones de carga 2023,0,0,"89,772","640,667",0,0,"7,139","178,754","916,332"
Autobuses 2023,"4,446",0,"7,230",0,0,0,0,722,"12,398"
Vehículos de pasajeros 2023,"2,719,076","1,600,478","3,901,938","2,075,700","1,451,933","92,488","416,554","724,901","12,983,068"
Peatones 2023,"3,124,475",0,"1,132,592","1,439,537",0,"1,940","36,258","146,781","5,881,583"
