Año/Mes,Total nacional,Estado ,Chihuahua ,Juárez,Otros municipios en el estado 
2013/03,"212,479,533","33,283,016","5,447,471","26,552,521","1,283,024"
2013/04,"216,589,271","37,538,007","5,489,962","30,766,386","1,281,659"
2013/05,"218,517,719","35,691,050","5,415,612","28,897,317","1,378,121"
2013/06,"208,388,730","30,706,805","5,603,370","23,737,407","1,366,028"
2013/07,"214,154,178","32,084,027","5,231,713","25,437,851","1,414,463"
2013/08,"221,970,669","34,728,954","5,940,596","27,400,265","1,388,093"
2013/09,"214,452,142","36,032,790","5,908,739","28,760,130","1,363,921"
2013/10,"236,251,059","36,295,738","5,392,073","29,542,783","1,360,882"
2013/11,"212,541,453","33,659,678","5,749,130","26,361,884","1,548,664"
2013/12,"191,982,358","32,627,164","5,163,596","26,172,251","1,291,317"
ACUMULADO 2013,"2,553,344,533","389,783,041","65,838,792","307,694,282","16,249,967"
2014/01,"244,697,659","35,542,249","5,425,678","28,735,256","1,381,315"
2014/02,"245,841,181","35,949,130","5,961,023","28,405,254","1,582,853"
2014/03,"262,232,550","36,477,319","6,277,599","28,562,667","1,637,053"
2014/04,"263,588,405","37,812,202","6,644,627","29,548,469","1,619,106"
2014/05,"266,292,927","37,320,696","6,198,301","29,574,299","1,548,096"
2014/06,"264,397,089","39,070,113","6,670,771","30,869,893","1,529,449"
2014/07,"268,770,555","39,516,193","6,529,577","31,500,451","1,486,165"
2014/08,"266,638,327","40,321,760","6,760,054","32,000,734","1,560,972"
2014/09,"276,471,282","41,168,933","7,012,212","32,534,133","1,622,588"
2014/10,"301,280,832","45,069,158","7,449,015","36,062,188","1,557,955"
2014/11,"285,976,451","42,270,596","6,570,661","34,257,341","1,442,594"
2014/12,"273,543,652","44,610,707","6,637,842","36,548,910","1,423,955"
ACUMULADO 2014,"3,219,730,910","475,129,056","78,137,360","378,599,595","18,392,101"
2015/01,"276,024,087","42,754,325","6,160,114","35,256,102","1,338,109"
2015/02,"285,067,375","42,516,874","6,564,762","34,547,383","1,404,729"
2015/03,"308,877,693","44,513,166","6,857,510","36,115,922","1,539,734"
2015/04,"306,462,764","44,912,340","7,203,276","36,405,413","1,303,651"
2015/05,"303,964,253","45,195,809","7,209,053","36,536,726","1,450,030"
2015/06,"327,371,560","50,009,768","8,422,273","39,939,593","1,647,902"
2015/07,"345,862,540","58,824,762","7,906,862","49,167,368","1,750,532"
2015/08,"335,879,383","58,289,888","8,154,783","48,476,973","1,658,132"
2015/09,"356,226,909","61,153,942","8,862,458","50,587,947","1,703,537"
2015/10,"377,221,197","56,672,080","8,549,053","46,463,891","1,659,136"
2015/11,"347,560,836","55,278,005","8,154,207","45,517,126","1,606,672"
2015/12,"323,401,615","53,755,149","7,750,493","44,267,795","1,736,861"
ACUMULADO 2015,"3,893,920,212","613,876,108","91,794,844","503,282,239","18,799,025"
2016/01p,"329,183,579","52,908,221","7,700,759","43,407,734","1,799,728"
2016/02,"350,731,396","55,397,152","8,656,900","44,741,543","1,998,709"
2016/03,"359,633,012","59,558,807","9,028,620","48,363,330","2,166,857"
2016/04,"360,163,950","65,142,482","8,744,821","54,498,613","1,899,048"
2016/05,"358,701,615","60,415,322","9,116,552","49,090,048","2,208,722"
2016/06,"375,657,167","62,115,510","9,026,967","51,094,810","1,993,733"
2016/07,"353,991,181","60,289,857","8,038,297","50,490,707","1,760,853"
2016/08,"396,029,788","59,950,813","9,099,199","48,967,282","1,884,332"
2016/09,"394,854,687","61,104,536","9,666,060","49,484,171","1,954,305"
2016/10,"408,473,979","64,660,441","9,111,782","53,670,725","1,877,934"
2016/11,"425,305,954","66,820,298","9,692,253","55,198,951","1,929,094"
2016/12,"409,553,500","67,788,428","9,617,827","56,320,310","1,850,291"
ACUMULADO 2016,"4,522,279,808","736,151,867","107,500,037","605,328,224","23,323,606"
2017/01,"427,626,780","71,975,003","9,922,667","60,507,310","1,545,026"
2017/02,"425,280,959","67,586,023","10,094,903","55,546,528","1,944,592"
2017/03,"450,960,004","66,986,270","10,349,566","54,870,562","1,766,142"
2017/04,"419,019,785","70,891,290","9,141,939","59,978,576","1,770,775"
2017/05,"439,262,204","71,997,409","9,502,489","60,433,743","2,061,177"
2017/06,"437,304,671","72,603,106","9,427,763","61,097,680","2,077,663"
2017/07,"414,615,462","68,138,281","8,895,765","57,568,985","1,673,531"
2017/08,"437,196,643","71,782,871","9,839,810","59,965,386","1,977,675"
2017/09,"427,186,416","65,917,624","9,645,139","54,107,374","2,165,111"
2017/10,"453,877,224","71,880,284","10,173,599","59,296,769","2,409,916"
2017/11,"448,966,569","70,204,927","9,972,042","58,257,383","1,975,502"
2017/12,"406,811,578","63,477,146","8,958,437","52,395,142","2,123,567"
ACUMULADO 2017,"5,188,108,295","833,440,234","115,924,119","694,025,438","23,490,677"
2018/01,"428,839,703","67,012,134","8,689,042","56,025,433","2,297,659"
2018/02,"424,412,895","65,499,913","8,604,757","54,718,939","2,176,217"
2018/03,"428,676,174","61,993,579","8,170,049","51,413,516","2,410,014"
2018/04,"432,161,644","70,438,823","8,750,574","59,053,936","2,634,313"
2018/05,"466,386,483","74,886,521","8,474,046","63,810,970","2,601,505"
2018/06,"477,254,274","70,537,858","10,361,748","57,637,231","2,538,879"
2018/07,"462,096,948","69,923,351","9,140,521","58,430,213","2,352,617"
2018/08,"476,430,424","66,207,730","10,155,264","53,542,868","2,509,598"
2018/09,"460,004,571","64,991,531","8,952,856","53,638,933","2,399,742"
2018/10,"507,044,118","80,360,568","9,849,137","68,112,720","2,398,711"
2018/11,"492,139,966","75,557,244","9,732,262","63,504,207","2,320,775"
2018/12,"441,270,834","70,288,460","8,674,586","59,661,036","1,952,838"
ACUMULADO 2018,"5,496,718,034","837,697,712","109,554,842","699,550,002","28,592,868"
2019/01,"431,714,351","52,129,998","8,930,256","40,845,762","2,353,980"
2019/02,"444,502,065","63,968,457","8,145,196","53,539,673","2,283,588"
2019/03,"466,641,631","66,822,492","9,450,002","54,976,220","2,396,270"
2019/04,"471,542,575","78,221,179","8,278,937","67,438,975","2,503,267"
2019/05,"487,875,443","74,787,536","8,484,521","63,697,630","2,605,385"
2019/06,"484,119,852","70,086,789","8,177,579","59,364,810","2,544,400"
2019/07,"497,701,375","75,185,319","8,606,515","64,159,882","2,418,922"
2019/08,"498,507,451","67,555,511","9,634,077","55,550,567","2,370,867"
2019/09,"475,143,716","65,437,112","8,417,981","54,789,250","2,229,881"
2019/10,"504,186,508","81,758,337","8,429,806","71,061,335","2,267,196"
2019/11,"486,357,830","80,560,847","8,211,222","70,195,782","2,153,843"
2019/12,"447,190,355","71,908,203","8,371,374","61,508,788","2,028,041"
ACUMULADO 2019,"5,695,483,152","848,421,780","103,137,466","717,128,674","28,155,640"
2020/01,"431,640,221","64,259,465","7,834,383","54,204,514","2,220,568"
2020/02,"435,567,477","65,174,381","7,921,034","55,691,704","2,191,643"
2020/03,"470,481,204","66,363,687","7,686,721","56,417,667","2,259,299"
2020/04,"270,388,508","50,774,574","5,100,719","44,089,200","1,584,655"
2020/05,"271,993,040","54,449,278","4,587,023","48,010,006","1,852,249"
2020/06,"463,139,450","74,984,348","8,044,445","64,951,450","1,988,453"
2020/07,"499,163,147","93,038,747","9,515,864","81,615,452","1,907,431"
2020/08,"510,052,378","85,749,757","11,847,206","71,556,715","2,236,836"
2020/09,"511,008,709","86,937,469","10,708,635","73,704,084","2,524,750"
2020/10,"540,182,698","88,805,470","11,211,465","75,439,290","2,154,715"
2020/11,"514,495,239","82,448,754","10,843,890","69,833,728","1,771,136"
2020/12,"474,254,230","79,537,680","11,049,401","66,624,669","1,863,610"
ACUMULADO 2020,"5,392,366,301","892,523,610","106,350,786","762,247,479","24,555,345"
2021/01,"457,862,809","75,129,260","9,125,061","63,960,588","2,043,611"
2021/02,"458,075,070","72,712,011","10,658,148","60,291,425","1,762,438"
2021/03,"510,306,038","79,150,094","10,809,260","66,399,269","1,941,565"
2021/04,"506,422,931","79,397,332","10,665,435","66,632,443","2,099,454"
2021/05,"496,645,639","77,187,319","10,165,116","64,900,801","2,121,402"
2021/06,"511,614,167","80,898,688","10,019,267","68,636,234","2,243,187"
2021/07,"517,712,467","82,348,533","9,399,324","70,522,197","2,427,012"
2021/08,"528,514,611","84,165,661","11,521,027","70,355,819","2,288,815"
2021/09,"512,673,231","82,475,105","10,943,181","69,321,639","2,210,285"
2021/10,"527,053,286","79,589,447","11,759,775","65,399,752","2,429,920"
2021/11,"525,581,042","75,298,731","11,110,390","61,717,783","2,470,558"
2021/12,"504,601,614","76,843,271","11,833,697","62,436,989","2,572,585"
ACUMULADO 2021,"6,057,062,905","945,195,452","128,009,681","790,574,939","26,610,832"
2022/01,"502,660,079","78,472,293","10,914,666","64,977,350","2,580,277"
2022/02,"509,724,353","80,418,274","11,295,822","66,562,230","2,560,222"
2022/03,"597,785,461","94,034,925","13,226,825","77,985,173","2,822,927"
2022/04,"579,627,939","97,417,410","12,059,156","82,890,519","2,467,735"
2022/05,"583,282,395","97,296,528","17,680,447","76,746,300","2,869,781"
2022/06,"578,873,362","91,027,203","12,764,843","75,467,436","2,794,924"
2022/07,"586,876,826","96,481,931","14,141,242","79,721,525","2,619,164"
2022/08,"610,679,060","99,193,889","14,812,653","81,348,775","3,032,461"
2022/09,"603,627,871","104,620,659","13,730,968","87,962,176","2,927,515"
2022/10,"629,698,705","110,584,701","14,093,425","93,730,280","2,760,996"
2022/11,"631,931,037","109,517,906","16,149,491","90,616,240","2,752,175"
2022/12,"603,598,956","97,229,770","14,538,688","80,161,357","2,529,725"
ACUMULADO 2022,"7,018,366,044","1,156,295,489","165,408,226","958,169,361","32,717,902"
2023/01,"558,957,911","85,606,352","13,239,543","69,418,906","2,947,903"
2023/02,"553,503,622","88,599,992","15,566,030","70,372,271","2,661,691"
2023/03,"585,801,010","88,291,644","13,438,520","71,657,677","3,195,447"
2023/04,"577,256,445","79,731,170","16,379,641","59,692,054","3,659,475"
2023/05,"620,016,427","88,367,389","16,499,400","67,714,128","4,153,861"
2023/06,"595,454,565","95,610,827","14,618,264","77,319,907","3,672,656"
2023/07,"572,819,487","87,429,735","14,846,821","68,886,137","3,696,777"
2023/08,"610,945,673","85,445,029","15,063,281","66,514,557","3,867,191"
2023/09,"579,922,907","78,770,813","11,875,612","63,023,773","3,871,428"
2023/10,"588,804,788","84,277,924","14,393,229","65,877,482","4,007,213"
2023/11,"605,088,203","95,639,331","15,566,574","76,067,690","4,005,067"
2023/12,"539,698,389","82,954,995","13,759,755","65,486,145","3,709,095"
ACUMULADO 2023,"6,988,269,427","1,040,725,201","175,246,670","822,030,727","43,447,804"
2024/01,"550,840,415","74,117,433","13,857,516","56,746,269","3,513,648"
2024/02,"555,767,704","78,120,063","14,915,723","60,210,865","2,993,475"
2024/03,"531,226,329","73,483,780","12,708,369","58,123,225","2,652,186"
2024/04,"557,845,594","72,098,496","13,687,758","55,587,205","2,823,533"
2024/05,"564,752,201","73,317,819","13,878,984","56,463,499","2,975,336"
2024/06,"559,938,590","62,515,561","15,364,195","44,174,493","2,976,873"
2024/07,"562,077,853","62,994,667","14,950,317","45,051,421","2,992,929"
2024/08,"599,226,034","63,351,842","15,854,381","44,743,451","2,754,010"
2024/09,"596,249,011","68,837,249","16,638,234","49,327,689","2,871,326"
2024/10,"624,336,030","73,775,956","17,521,801","53,319,403","2,934,752"
2024/11,"618,689,459","74,899,996","18,702,918","53,524,378","2,672,700"
2024/12,"561,827,029","65,793,925","17,667,909","45,770,862","2,355,154"
ACUMULADO 2024,"6,882,776,249","843,306,787","185,748,105","623,042,760","34,515,922"
2025/01,"589,229,482","68,519,784","18,563,787","47,724,691","2,231,306"
2025/02,"611,633,361","70,893,087","19,938,502","48,218,860","2,735,725"
2025/03,"630,248,768","73,253,130","21,092,938","49,198,062","2,962,130"
2025/04,"639,781,920","76,747,443","23,263,440","50,667,981","2,816,022"
ACUMULADO 2025,"2,470,893,531","289,413,444","82,858,667","195,809,594","10,745,183"
