Periodo,Índice al por mayor,Índice al por menor,Variación anual al por mayor,Variación anual al por menor
2017/06,109.3,96.4,6.4,7.7
2017/07,96,94.5,-8.1,1.7
2017/08,99.8,92.3,-6.6,3.3
2017/09,100.7,94.8,-5.4,3.8
2017/10,96.8,96.6,-5.5,6.7
2017/11,101.2,95.7,0.6,5.3
2017/12,131.5,123.9,-3.7,3.6
2018/01,90.5,92.2,-9.7,1.8
2018/02,89.8,92.3,-9.1,5.9
2018/03,96.6,102.8,-7.7,11.8
2018/04,99.1,96.6,-11.8,4.3
2018/05,113.3,105.1,-15.9,3.7
2018/06,102.7,96.5,-6.1,0.1
2018/07,97,97.4,1,3.2
2018/08,101,97.7,1.3,5.8
2018/09,94.3,96.1,-6.4,1.4
2018/10,95.7,97.2,-1.1,0.5
2018/11,98.9,101.1,-2.3,5.6
2018/12,121.1,125,-7.9,0.8
2019/01,96.1,97.7,6.3,5.9
2019/02,94.4,99.9,5.1,8.3
2019/03,98.7,107.5,2.2,4.5
2019/04,101,100.6,1.9,4.2
2019/05,114.9,110.8,1.5,5.4
2019/06,102.7,101.1,0,4.7
2019/07,97.6,101.9,0.5,4.6
2019/08,102.2,102.8,1.2,5.2
2019/09,93.7,101.8,-0.6,5.9
2019/10,98.4,102.2,2.8,5.2
2019/11,97.3,105.9,-1.6,4.7
2019/12,121.8,128.5,0.6,2.8
2020/01,95.7,101.7,-0.4,4.2
2020/02,93.2,100.4,-1.3,0.5
2020/03,97.8,108.8,-0.9,1.3
2020/04,101.4,100,0.5,-0.6
2020/05,108,106.6,-6.1,-3.8
2020/06,97.6,96.9,-5,-4.1
2020/07,94.9,99.2,-2.8,-2.6
2020/08,95.6,98.1,-6.5,-4.5
2020/09,92.8,95.8,-1,-5.9
2020/10,95.1,100.6,-3.3,-1.6
2020/11,96,104.3,-1.3,-1.5
2020/12,122.7,126.8,0.8,-1.3
2021/01,95.9,99,0.2,-2.7
2021/02,94.2,97.9,1,-2.5
2021/03,100.1,103.2,2.3,-5.2
2021/04,105,100.2,3.5,0.2
2021/05,115.5,114.3,7,7.3
2021/06,105.4,101,8.1,4.3
2021/07,106.7,113.6,12.4,14.5
2021/08,109.4,105.5,14.4,7.5
2021/09,105.8,108.1,14,12.8
2021/10,106.6,111.4,12.1,10.7
2021/11,105.3,117.3,9.7,12.5
2021/12,143.5,136.5,16.9,7.7
2022/01,112.8,109.8,17.6,11
2022/02,116,108.3,23.2,10.6
2022/03,119.1,111.5,19,8
2022/04,122.9,114.6,17.1,14.3
2022/05,140.3,131.2,21.4,14.7
2022/06,122.3,116.3,16,15.1
2022/07,122.4,117.5,14.7,3.4
2022/08,121.4,114.1,11,8.2
2022/09,119.7,114.5,13.1,6
2022/10,119.3,116.6,12,4.7
2022/11,120.1,118.2,14,0.8
2022/12,152.6,142.3,6.3,4.3
2023/01,122.4,119.8,8.5,9.1
2023/02,126.8,117.9,9.4,8.9
2023/03,130.8,122.6,9.8,10
2023/04,128.8,124.5,4.8,8.7
2023/05,156,144.2,11.2,9.9
2023/06,135.3,127.1,10.7,9.3
2023/07,130.6,128.2,6.8,9.2
2023/08,134.3,129,10.6,13.1
2023/09,131.6,129.9,10,13.4
2023/10,132.5,130,11,11.5
2023/11,132.4,133.4,10.2,12.9
2023/12,164.9,155.7,8.1,9.4
2024/01,126.9,129,3.7,7.6
2024/02,132.3,129.4,4.3,9.7
2024/03,136.8,132.2,4.6,7.8
2024/04,136.8,129.7,6.2,4.1
2024/05,170,152.2,9,5.6
2024/06,140,131.6,3.5,3.5
2024/07,137.2,134,5,4.5
2024/08,143.6,137.6,7,6.6
2024/09,136.6,134,3.8,3.1
